parent_station,stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_timezone,stop_url,stop_id,stop_desc,stop_name,location_type,platform_code,zone_id
,40.606468,,5130,-75.394712,,,1991,,Ostrum at Tombler,0,,
,40.625178,,4802,-75.442905,,,3206,,Airport at Livingston NB,0,,
,40.687569,,4049,-75.222381,,,1621,,Lehigh at 10th,0,,
,40.620521,,4818,-75.491887,,,1992,,Overlook at Corinth EB,0,,
,40.687206,,4045,-75.229984,,,1627,,Lehigh at 14th,0,,
,40.687484,,4046,-75.224267,,,1626,,Lehigh at 11th,0,,
,40.621279,,4821,-75.484961,,,1997,,Overlook at Mickley NB,0,,
,40.687391,,4047,-75.226185,,,1624,,Lehigh at 12th - Easton,0,,
,40.620072,,4867,-75.488966,,,1999,,Overlook at Olympic,0,,
,40.621382,,4869,-75.485046,,,1998,,Overlook at Mickley SB,0,,
,40.687032,,4043,-75.233766,,,1629,,Lehigh at 16th,0,,
,40.687301,,4044,-75.228088,,,1628,,Lehigh at 13th,0,,
,40.620928,,4942,-75.442819,,,3209,,Irving at Dieruff SB,0,,
,40.623533,,4941,-75.443545,,,3208,,Irving at Clay SB,0,,
,40.578607,,3006,-75.454911,,,2860,,4th at Baker SB,0,,
,40.613561,,3007,-75.476891,,,2861,,Washington at 7th,0,,
,40.608257,,4484,-75.478883,,,559,,9th at Liberty,0,,
,40.606918,,4485,-75.478232,,,558,,9th at Gordon,0,,
,40.615158,,3012,-75.477632,,,2866,,Greenleaf at 7th,0,,
,40.585631,,3141,-75.555994,,,2867,,St Luke's West End EB,0,,
,40.634862,,3142,-75.435494,,,2868,,Hoover at Lloyd,0,,
,40.590635,,4737,-75.468661,,,554,,8th at Wyoming SB,0,,
,40.602346,,4103,-75.476088,,,557,,9th at Court,0,,
,40.605535,,4486,-75.477589,,,556,,9th at Chew,0,,
,40.625067,,5144,-75.395005,,,551,,8th at Union SB,0,,
,40.625181,,5143,-75.394825,,,550,,8th at Union NB,0,,
,40.600132,,4686,-75.472745,,,552,,8th at Walnut,0,,
,40.612371,,6186,-75.346716,,,428_merged_671192,,4th at Emery WB,0,,
,40.612581,,6266,-75.377776,,,2719_merged_671196,,Fahy Bridge South WB,0,,
,40.624326,,4250,-75.476388,,,1199,,Fairmont at Virginia EB,0,,
,40.64121,,3132,-75.400867,,,3342,,Schoenersville at Jacksonville WB,0,,
,40.624159,,4248,-75.473082,,,1190,,Fairmont at 5th,0,,
,40.624424,,4293,-75.475997,,,1193,,Fairmont at Virginia WB,0,,
,40.624316,,4249,-75.473947,,,1192,,Fairmont at 6th,0,,
,40.624209,,4252,-75.481356,,,1195,,Fairmont at MacArthur EB,0,,
,40.624651,,4251,-75.478349,,,1197,,Fairmont at Kay EB,0,,
,40.624784,,4295,-75.478248,,,1196,,Fairmont at Kay WB,0,,
,40.669653,,4274,-75.481021,,,1758,,Main at 2nd SB - Northampton,0,,
,40.669352,,4318,-75.480868,,,1757,,Main at 2nd NB - Northampton,0,,
,40.696796,,4347,-75.499163,,,1756,,Main at 24th,0,,
,40.694621,,4345,-75.499797,,,1754,,Main at 23rd SB,0,,
,40.694386,,4344,-75.499726,,,1753,,Main at 23rd NB,0,,
,40.692706,,4343,-75.500247,,,1752,,Main at 22nd SB,0,,
,40.692541,,4342,-75.500084,,,1751,,Main at 22nd NB,0,,
,40.690836,,4341,-75.499506,,,1750,,Main at 21st,0,,
,40.565292,,4139,-75.474817,,,1177,,Emaus at 26th NB,0,,
,40.572741,,4159,-75.465801,,,1174,,Emaus at 9th SB,0,,
,40.572554,,4136,-75.465971,,,1173,,Emaus at 9th NB,0,,
,40.573786,,4158,-75.463428,,,1172,,Emaus at 8th SB,0,,
,40.573548,,4135,-75.463675,,,1171,,Emaus at 8th NB,0,,
,40.575903,,4156,-75.458565,,,1170,,Emaus at Law SB,0,,
,40.61746,,4946,-75.441809,,,3213,,Irving at Dent NB,0,,
,40.644898,,5410,-75.376307,,,1006,,Center at Moreland NB,0,,
,40.654858,,4033,-75.497321,,,513,,7th at Lehigh SB,0,,
,40.580579,,4897,-75.511511,,,1285,,Flexler at Green Acres,0,,
,40.573501,,4851,-75.515919,,,1287,,Flexler at Lindberg SB,0,,
