service_id,date,exception_type
3_merged_3093,20200425,1
3_merged_3093,20190907,1
3_merged_3093,20200328,1
3_merged_3093,20190921,1
3_merged_3093,20200502,1
3_merged_3093,20200321,1
3_merged_3093,20190928,1
3_merged_3093,20200509,1
3_merged_3093,20191026,1
3_merged_3093,20200208,1
3_merged_3093,20191109,1
3_merged_3093,20200307,1
3_merged_3093,20191005,1
3_merged_3093,20191102,1
3_merged_3093,20200523,1
3_merged_3093,20200201,1
3_merged_3093,20191228,1
3_merged_3093,20200104,1
3_merged_3093,20191207,1
3_merged_3093,20191123,1
3_merged_3093,20191221,1
3_merged_3093,20200229,1
3_merged_3093,20200125,1
3_merged_3093,20200222,1
3_merged_3093,20190914,1
3_merged_3093,20200516,1
3_merged_3093,20200418,1
3_merged_3093,20200530,1
3_merged_3093,20200411,1
3_merged_3093,20191012,1
3_merged_3093,20200314,1
3_merged_3093,20200215,1
3_merged_3093,20191019,1
3_merged_3093,20191116,1
3_merged_3093,20200118,1
3_merged_3093,20191130,1
3_merged_3093,20191214,1
3_merged_3093,20200404,1
3_merged_3093,20200111,1
3_merged_3090,20190831,1
3_merged_3090,20190824,1
2_merged_3094,20190910,1
2_merged_3094,20190911,1
2_merged_3094,20190923,1
2_merged_3094,20190920,1
2_merged_3094,20190927,1
2_merged_3094,20190926,1
2_merged_3094,20190925,1
2_merged_3094,20190924,1
2_merged_3094,20200527,1
2_merged_3094,20200320,1
2_merged_3094,20200323,1
2_merged_3094,20200325,1
2_merged_3094,20200324,1
2_merged_3094,20200327,1
2_merged_3094,20200326,1
2_merged_3094,20200203,1
2_merged_3094,20200206,1
2_merged_3094,20191126,1
2_merged_3094,20200204,1
2_merged_3094,20200205,1
2_merged_3094,20200129,1
2_merged_3094,20191127,1
2_merged_3094,20200123,1
2_merged_3094,20200122,1
2_merged_3094,20200121,1
2_merged_3094,20200120,1
2_merged_3094,20200127,1
2_merged_3094,20200124,1
2_merged_3094,20191122,1
2_merged_3094,20190916,1
2_merged_3094,20200513,1
2_merged_3094,20200511,1
2_merged_3094,20190912,1
2_merged_3094,20190913,1
2_merged_3094,20200514,1
2_merged_3094,20200515,1
2_merged_3094,20191014,1
2_merged_3094,20200518,1
2_merged_3094,20200519,1
2_merged_3094,20190918,1
2_merged_3094,20190919,1
2_merged_3094,20191010,1
2_merged_3094,20191011,1
2_merged_3094,20200219,1
2_merged_3094,20191015,1
2_merged_3094,20191016,1
2_merged_3094,20191017,1
2_merged_3094,20191018,1
2_merged_3094,20200214,1
2_merged_3094,20200217,1
2_merged_3094,20200211,1
2_merged_3094,20200210,1
2_merged_3094,20200213,1
2_merged_3094,20200212,1
2_merged_3094,20191115,1
2_merged_3094,20191114,1
2_merged_3094,20200116,1
2_merged_3094,20200117,1
2_merged_3094,20200114,1
2_merged_3094,20200115,1
2_merged_3094,20200113,1
2_merged_3094,20200110,1
2_merged_3094,20190909,1
2_merged_3094,20200529,1
2_merged_3094,20190903,1
2_merged_3094,20200528,1
2_merged_3094,20190905,1
2_merged_3094,20190904,1
2_merged_3094,20190906,1
2_merged_3094,20200505,1
2_merged_3094,20200504,1
2_merged_3094,20200507,1
2_merged_3094,20200506,1
2_merged_3094,20200501,1
2_merged_3094,20200526,1
2_merged_3094,20191023,1
2_merged_3094,20191003,1
2_merged_3094,20191002,1
2_merged_3094,20191001,1
2_merged_3094,20191022,1
2_merged_3094,20191007,1
2_merged_3094,20191004,1
2_merged_3094,20191009,1
2_merged_3094,20191008,1
2_merged_3094,20191024,1
2_merged_3094,20191125,1
2_merged_3094,20200103,1
2_merged_3094,20200102,1
2_merged_3094,20191120,1
2_merged_3094,20191121,1
2_merged_3094,20200107,1
2_merged_3094,20200106,1
2_merged_3094,20200109,1
2_merged_3094,20200108,1
2_merged_3094,20200520,1
2_merged_3094,20191129,1
2_merged_3094,20191204,1
2_merged_3094,20191030,1
2_merged_3094,20191031,1
2_merged_3094,20191230,1
2_merged_3094,20191231,1
2_merged_3094,20191202,1
2_merged_3094,20200207,1
2_merged_3094,20191029,1
2_merged_3094,20191028,1
2_merged_3094,20200408,1
2_merged_3094,20200409,1
2_merged_3094,20191021,1
2_merged_3094,20200406,1
2_merged_3094,20200407,1
2_merged_3094,20191025,1
2_merged_3094,20200401,1
2_merged_3094,20200402,1
2_merged_3094,20200403,1
2_merged_3094,20191108,1
2_merged_3094,20191101,1
2_merged_3094,20191106,1
2_merged_3094,20191107,1
2_merged_3094,20191104,1
2_merged_3094,20191105,1
2_merged_3094,20200128,1
2_merged_3094,20191223,1
2_merged_3094,20191220,1
2_merged_3094,20191227,1
2_merged_3094,20191226,1
2_merged_3094,20191224,1
2_merged_3094,20200417,1
2_merged_3094,20200416,1
2_merged_3094,20200415,1
2_merged_3094,20200414,1
2_merged_3094,20200413,1
2_merged_3094,20200410,1
2_merged_3094,20200310,1
2_merged_3094,20200311,1
2_merged_3094,20200312,1
2_merged_3094,20200313,1
2_merged_3094,20191119,1
2_merged_3094,20191118,1
2_merged_3094,20200316,1
2_merged_3094,20200317,1
2_merged_3094,20200318,1
2_merged_3094,20200319,1
2_merged_3094,20200331,1
2_merged_3094,20191111,1
2_merged_3094,20191113,1
2_merged_3094,20191112,1
2_merged_3094,20191205,1
2_merged_3094,20191218,1
2_merged_3094,20191219,1
2_merged_3094,20191216,1
2_merged_3094,20191217,1
2_merged_3094,20191212,1
2_merged_3094,20191213,1
2_merged_3094,20191210,1
2_merged_3094,20191211,1
2_merged_3094,20200525,1
2_merged_3094,20200422,1
2_merged_3094,20200423,1
2_merged_3094,20200420,1
2_merged_3094,20200421,1
2_merged_3094,20200427,1
2_merged_3094,20200424,1
2_merged_3094,20200428,1
2_merged_3094,20200429,1
2_merged_3094,20200303,1
2_merged_3094,20200302,1
2_merged_3094,20200306,1
2_merged_3094,20200305,1
2_merged_3094,20200304,1
2_merged_3094,20200309,1
2_merged_3094,20200508,1
2_merged_3094,20200224,1
2_merged_3094,20200225,1
2_merged_3094,20191203,1
2_merged_3094,20200227,1
2_merged_3094,20200220,1
2_merged_3094,20200221,1
2_merged_3094,20191206,1
2_merged_3094,20191209,1
2_merged_3094,20200228,1
2_merged_3094,20200218,1
2_merged_3094,20200226,1
2_merged_3094,20190930,1
2_merged_3094,20200430,1
2_merged_3094,20200522,1
2_merged_3094,20200512,1
2_merged_3094,20200330,1
2_merged_3094,20190917,1
2_merged_3094,20200130,1
2_merged_3094,20200131,1
2_merged_3094,20200521,1
2_merged_3091,20190826,1
2_merged_3091,20190827,1
2_merged_3091,20190823,1
2_merged_3091,20190830,1
2_merged_3091,20190828,1
2_merged_3091,20190829,1
5,20191128,1
5,20191225,1
4_merged_3092,20190901,1
4_merged_3092,20190825,1
4_merged_3092,20190902,1
4_merged_3095,20190908,1
4_merged_3095,20200329,1
4_merged_3095,20190922,1
4_merged_3095,20200426,1
4_merged_3095,20200503,1
4_merged_3095,20191020,1
4_merged_3095,20200405,1
4_merged_3095,20190929,1
4_merged_3095,20200322,1
4_merged_3095,20191027,1
4_merged_3095,20200101,1
4_merged_3095,20200301,1
4_merged_3095,20200524,1
4_merged_3095,20191006,1
4_merged_3095,20200202,1
4_merged_3095,20191103,1
4_merged_3095,20200308,1
4_merged_3095,20200412,1
4_merged_3095,20191124,1
4_merged_3095,20191229,1
4_merged_3095,20200105,1
4_merged_3095,20200223,1
4_merged_3095,20191208,1
4_merged_3095,20200126,1
4_merged_3095,20191201,1
4_merged_3095,20200510,1
4_merged_3095,20200209,1
4_merged_3095,20200517,1
4_merged_3095,20200419,1
4_merged_3095,20191222,1
4_merged_3095,20200531,1
4_merged_3095,20191013,1
4_merged_3095,20200315,1
4_merged_3095,20191117,1
4_merged_3095,20200216,1
4_merged_3095,20191110,1
4_merged_3095,20190915,1
4_merged_3095,20200119,1
4_merged_3095,20191215,1
4_merged_3095,20200112,1
